name, units, ads_name, short_name, paramid, access_type, fc, an, note
Total absorption aerosol optical depth at 670 nm,dimensionless,total_absorption_aerosol_optical_depth_670nm,aodabs670,215106.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 800 nm,dimensionless,total_absorption_aerosol_optical_depth_800nm,aodabs800,215107.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 858 nm,dimensionless,total_absorption_aerosol_optical_depth_858nm,aodabs858,215108.00,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 865 nm,dimensionless,total_absorption_aerosol_optical_depth_865nm,aodabs865,215109.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 1020 nm,dimensionless,total_aerosol_optical_depth_1020nm,aod1020,210227.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 1064 nm,dimensionless,total_aerosol_optical_depth_1064nm,aod1064,210228.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 1640 nm,dimensionless,total_aerosol_optical_depth_1640nm,aod1640,210229.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 2130 nm,dimensionless,total_aerosol_optical_depth_2130nm,aod2130,210230.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 340 nm,dimensionless,total_aerosol_optical_depth_340nm,aod340,210217.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 355 nm,dimensionless,total_aerosol_optical_depth_355nm,aod355,210218.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 380 nm,dimensionless,total_aerosol_optical_depth_380nm,aod380,210219.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 400 nm,dimensionless,total_aerosol_optical_depth_400nm,aod400,210220.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 440 nm,dimensionless,total_aerosol_optical_depth_440nm,aod440,210221.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 500 nm,dimensionless,total_aerosol_optical_depth_500nm,aod500,210222.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 532 nm,dimensionless,total_aerosol_optical_depth_532nm,aod532,210223.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 645 nm,dimensionless,total_aerosol_optical_depth_645nm,aod645,210224.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 800 nm,dimensionless,total_aerosol_optical_depth_800nm,aod800,210225.00,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 858 nm,dimensionless,total_aerosol_optical_depth_858nm,aod858,210226.00,,X,X,Only available from 26 June 2018 12UTC
Total cloud cover,(0 - 1),total_cloud_cover,tcc,164.00,,X,X,
Total column acetone,kg m-2,total_column_acetone,tc_ch3coch3,218052.00,,X,X,Only available from 26 June 2018 12UTC
Total column acetone product,kg m-2,total_column_acetone_product,tc_aco2,218053.00,,X,X,Only available from 06 October 2020 00UTC
Total column acetonitrile,kg m-2,total_column_acetonitrile,tc_CH3CN,218224.00,,X,X,Available from 28 June 2023
Total column aldehydes,kg m-2,total_column_aldehydes,tc_ald2,218012.00,,X,X,Only available from 26 June 2018 12UTC
Total column amine,kg m-2,total_column_amine,tc_nh2,218040.00,,X,X,Only available from 06 October 2020 00UTC
Total column ammonia,kg m-2,total_column_ammonia,tc_nh3,218019.00,,X,X,Only available from 06 October 2020 00UTC
Total column ammonium,kg m-2,total_column_ammonium,tc_nh4,218021.00,,X,X,Only available from 9 July 2019 00UTC
Total column asymmetric chlorine dioxide radical,kg m-2,total_column_asymmetric_chlorine_dioxide_radical,tc_cloo,218198.00,,X,X,Available from 28 June 2023
Total column bromine,kg m-2,total_column_bromine,tc_br2,218192.00,,X,X,Available from 28 June 2023
Total column bromine atom,kg m-2,total_column_bromine_atom,tc_br,218191.00,,X,X,Available from 28 June 2023
Total column bromine monochloride,kg m-2,total_column_bromine_monochloride,tc_brcl,218193.00,,X,X,Available from 28 June 2023
Total column bromine monoxide,kg m-2,total_column_bromine_monoxide,tc_bro,218176.00,,X,X,Available from 28 June 2023
Total column bromine nitrate,kg m-2,total_column_bromine_nitrate,tc_brono2,218194.00,,X,X,Available from 28 June 2023
Total column bromochlorodifluoromethane,kg m-2,total_column_bromochlorodifluoromethane,tc_ha1211,218082.00,,X,X,Available from 28 June 2023
Total column chlorine,kg m-2,total_column_chlorine,tc_cl2,218066.00,,X,X,Available from 28 June 2023
Total column chlorine atom,kg m-2,total_column_chlorine_atom,tc_cl_c,218175.00,,X,X,Available from 28 June 2023
Total column chlorine dioxide,kg m-2,total_column_chlorine_dioxide,tc_oclo,218063.00,,X,X,Available from 28 June 2023
Total column chlorodifluoromethane,kg m-2,total_column_chlorodifluoromethane,tc_hcfc22,218079.00,,X,X,Available from 28 June 2023
Total column chloropentafluoroethane,kg m-2,total_column_chloropentafluoroethane,tc_cfc115,218075.00,,X,X,Available from 28 June 2023
Total column cloud ice water,kg m-2,total_column_cloud_ice_water,tciw,79.00,,X,X,
Total column cloud liquid water,kg m-2,total_column_cloud_liquid_water,tclw,78.00,,X,X,
Total column dibromomethane,kg m-2,total_column_dibromomethane,tc_ch2br2,218195.00,,X,X,Available from 28 June 2023
Total column dichlorine dioxide,kg m-2,total_column_dichlorine_dioxide,tc_cl2o2,218069.00,,X,X,Available from 28 June 2023
Total column dichlorodifluoromethane,kg m-2,total_column_dichlorodifluoromethane,tc_cfc12,218072.00,,X,X,Available from 28 June 2023
Total column dichlorotetrafluoroethane,kg m-2,total_column_dichlorotetrafluoroethane,tc_cfc114,218074.00,,X,X,Available from 28 June 2023
Total column dimethyl sulfide,kg m-2,total_column_dimethyl_sulfide,tc_dms,218018.00,,X,X,Only available from 06 October 2020 00UTC
Total column dinitrogen pentoxide,kg m-2,total_column_dinitrogen_pentoxide,tc_n2o5,218033.00,,X,X,Only available from 06 October 2020 00UTC
Total column ethanol,kg m-2,total_column_ethanol,tc_c2h5oh,218046.00,,X,X,Only available from 26 June 2018 12UTC
Total column ethene,kg m-2,total_column_ethene,tc_c2h4,218010.00,,X,X,Only available from 26 June 2018 12UTC
Total column formic acid,kg m-2,total_column_formic_acid,tc_hcooh,218043.00,,X,X,Only available from 26 June 2018 12UTC
Total column Glyoxal,kg m-2,total_column_glyoxal,tc_glyoxal,218107.00,,X,X,Available from 28 June 2023 
Total column hydrogen bromide,kg m-2,total_column_hydrogen_bromide,tc_hbr,218068.00,,X,X,Available from 28 June 2023
Total column hydrogen fluoride,kg m-2,total_column_hydrogen_fluoride,tc_hf,218202.00,,X,X,Available from 28 June 2023
Total column hydroperoxy radical,kg m-2,total_column_hydroperoxy_radical,tc_ho2,218028.00,,X,X,Only available from 20 June 2017 00UTC
Total column of hypobromous acid,kg m-2,total_column_hypobromous_acid,tc_hobr,218070.00,,X,X,Available from 28 June 2023
Total column of hypochlorous acid,kg m-2,total_column_hypochlorous_acid,tc_hocl,218065.00,,X,X,Available from 28 June 2023
Total column HYPROPO2,kg m-2,total_column_hypropo2,tc_hypropo2,218055.00,,X,X,Only available from 06 October 2020 00UTC
Total column IC3H7O2,kg m-2,total_column_ic3h7o2,tc_ic3h7o2,218054.00,,X,X,Only available from 06 October 2020 00UTC
Total column  lead,kg m-2,total_column_lead,tc_pb,218026.00,,X,X,Only available from 06 October 2020 00UTC
Total column methacrolein MVK,kg m-2,total_column_methacrolein_mvk,tc_ispd,218050.00,,X,X,Only available from 06 October 2020 00UTC
Total column  methacrylic acid,kg m-2,total_column_methacrylic_acid,tc_mcooh,218044.00,,X,X,Only available from 06 October 2020 00UTC
Total column  methane sulfonic acid,kg m-2,total_column_methane_sulfonic_acid,tc_msa,218022.00,,X,X,Only available from 06 October 2020 00UTC
Total column methanol,kg m-2,total_column_methanol,tc_ch3oh,218042.00,,X,X,Only available from 26 June 2018 12UTC
Total column of methyl bromide,kg m-2,total_column_methyl_bromide,tc_ch3br,218080.00,,X,X,Available from 28 June 2023
Total column of methyl chloride,kg m-2,total_column_methyl_chloride,tc_ch3cl,218078.00,,X,X,Available from 28 June 2023
Total column of methyl chloroform,kg m-2,total_column_methyl_chloroform,tc_ch3ccl3,218077.00,,X,X,Available from 28 June 2023
Total column methyl glyoxal,kg m-2,total_column_methyl_glyoxal,tc_ch3cocho,218023.00,,X,X,Only available from 06 October 2020 00UTC
Total column methyl peroxide,kg m-2,total_column_methyl_peroxide,tc_ch3ooh,218007.00,,X,X,Only available from 26 June 2018 12UTC
Total column methylperoxy radical,kg m-2,total_column_methylperoxy_radical,tc_ch3o2,218029.00,,X,X,Only available from 06 October 2020 00UTC
Total column nitrate,kg m-2,total_column_nitrate,tc_no3_a,218051.00,,X,X,Only available from 06 October 2020 00UTC
Total column nitrate radical,kg m-2,total_column_nitrate_radical,tc_no3,218032.00,,X,X,Only available from 06 October 2020 00UTC
Total column nitrogen oxides Transp,kg m-2,total_column_nitrogen_oxides_transp,tc_noxa,218056.00,,X,X,Only available from 06 October 2020 00UTC
Total column of nitryl chloride,kg m-2,total_column_nitryl_chloride,tc_clno2,218067.00,,X,X,Available from 28 June 2023
Total column NO to alkyl nitrate operator,kg m-2,total_column_no_to_alkyl_nitrate_operator,tc_xo2n,218039.00,,X,X,Only available from 06 October 2020 00UTC
Total column NO to NO2 operator,kg m-2,total_column_no_to_no2_operator,tc_xo2,218038.00,,X,X,Only available from 06 October 2020 00UTC
Total column olefins,kg m-2,total_column_olefins,tc_ole,218011.00,,X,X,Only available from 26 June 2018 12UTC
Total column  organic ethers,kg m-2,total_column_organic_ethers,tc_ror,218036.00,,X,X,Only available from 06 October 2020 00UTC
Total column organic nitrates,kg m-2,total_column_organic_nitrates,tc_onit,218015.00,,X,X,Only available from 26 June 2018 12UTC
Total column paraffins,kg m-2,total_column_paraffins,tc_par,218009.00,,X,X,Only available from 26 June 2018 12UTC
Total column pernitric acid,kg m-2,total_column_pernitric_acid,tc_ho2no2,218034.00,,X,X,Only available from 06 October 2020 00UTC
Total column peroxides,kg m-2,total_column_peroxides,tc_rooh,218014.00,,X,X,Only available from 06 October 2020 00UTC
Total column peroxy acetyl radical,kg m-2,total_column_peroxy_acetyl_radical,tc_c2o3,218035.00,,X,X,Only available from 06 October 2020 00UTC
Total column  polar stratospheric cloud,kg m-2,total_column_polar_stratospheric_cloud,tc_psc,218041.00,,X,X,Only available from 06 October 2020 00UTC
Total column propene,kg m-2,total_column_propene,tc_c3h6,218048.00,,X,X,Only available from 06 October 2020 00UTC
Total column Radon,kg m-2,total_column_radon,tcra,210183.00,,X,X,Only available from 06 October 2020 00UTC
Total column rain water,kg m-2,total_column_rain_water,tcrw,228089.00,,X,X,Only available from 21 June 2016 00UTC
Total column snow water,kg m-2,total_column_snow_water,tcsw,228090.00,,X,X,Only available from 21 June 2016 00UTC
Source/gain of ammonium aerosol,kg m-2 s-1,total_column_source_of_ammonium_aerosol,aersrcam,215205.00,,X,,Only available from 9 July 2019 00UTC
Source/gain of coarse-mode nitrate aerosol,kg m-2 s-1,total_column_source_of_coarse_mode_nitrate_aerosol,aersrcnic,215190.00,,X,,Only available from 9 July 2019 00UTC
Source/gain of dust aerosol (0.03 - 0.55 um),kg m-2 s-1,total_column_source_of_dust_aerosol_0.03-0.55um,aersrcdus,215025.00,,X,,Only available from 26 June 2018 12UTC
Source/gain of dust aerosol (0.55 - 9 um),kg m-2 s-1,total_column_source_of_dust_aerosol_0.55-9um,aersrcdum,215026.00,,X,,Only available from 26 June 2018 12UTC
Source/gain of dust aerosol (9 - 20 um),kg m-2 s-1,total_column_source_of_dust_aerosol_9-20um,aersrcdul,215027.00,,X,,Only available from 26 June 2018 12UTC
Source/gain of fine-mode nitrate aerosol,kg m-2 s-1,total_column_source_of_fine_mode_nitrate_aerosol,aersrcnif,215189.00,,X,,Only available from 26 June 2018 12UTC
Source/gain of hydrophilic black carbon aerosol,kg m-2 s-1,total_column_source_of_hydrophilic_black_carbon_aerosol,aersrcbchphil,215066.00,,X,,Only available from 26 June 2018 12UTC
Source/gain of hydrophilic organic matter aerosol,kg m-2 s-1,total_column_source_of_hydrophilic_organic_matter_aerosol,aersrcomhphil,215050.00,,X,,Only available from 26 June 2018 12UTC
Source/gain of hydrophobic black carbon aerosol,kg m-2 s-1,total_column_source_of_hydrophobic_black_carbon_aerosol,aersrcbchphob,215065.00,,X,,Only available from 26 June 2018 12UTC
Source/gain of hydrophobic organic matter aerosol,kg m-2 s-1,total_column_source_of_hydrophobic_organic_matter_aerosol,aersrcomhphob,215049.00,,X,,Only available from 26 June 2018 12UTC
Source/gain of sea salt aerosol (0.03 - 0.5 um),kg m-2 s-1,total_column_source_of_sea_salt_aerosol_0.03-0.5um,aersrcsss,215001.00,,X,,Only available from 26 June 2018 12UTC
Source/gain of sea salt aerosol (0.5 - 5 um),kg m-2 s-1,total_column_source_of_sea_salt_aerosol_0.5-5um,aersrcssm,215002.00,,X,,Only available from 26 June 2018 12UTC
Source/gain of sea salt aerosol (5 - 20 um),kg m-2 s-1,total_column_source_of_sea_salt_aerosol_5-20um,aersrcssl,215003.00,,X,,Only available from 26 June 2018 12UTC
Source/gain of sulphate aerosol,kg m-2 s-1,total_column_source_of_sulphate_aerosol,aersrcsu,215081.00,,X,,Only available from 26 June 2018 12UTC
Total column stratospheric ozone,kg m-2,total_column_stratospheric_ozone,tc_o3s,218024.00,,X,X,Only available from 20 June 2017 00UTC
Total column supercooled liquid water,kg m-2,total_column_supercooled_liquid_water,tcslw,228088.00,,X,,Only available from 21 June 2016 00UTC
Total column terpenes,kg m-2,total_column_terpenes,tc_c10h16,218049.00,,X,X,Only available from 06 October 2020 00UTC
Total column of tetrachloromethane,kg m-2,total_column_tetrachloromethane,tc_ccl4,218076.00,,X,X,Available from 28 June 2023
Total column of tribromomethane,kg m-2,total_column_tribromomethane,tc_chbr3,218197.00,,X,X,Available from 28 June 2023
Total column of trichlorofluoromethane,kg m-2,total_column_trichlorofluoromethane,tc_cfc11,218071.00,,X,X,Available from 28 June 2023
Total column of trichlorotrifluoroethane,kg m-2,total_column_trichlorotrifluoroethane,tc_cfc113,218073.00,,X,X,Available from 28 June 2023
Total column of trifluorobromomethane,kg m-2,total_column_trifluorobromomethane,tc_ha1301,218083.00,,X,X,Available from 28 June 2023
Total column water,kg m-2,total_column_water,tcw,136.00,,X,X,
Total column of water vapour (chemistry),kg m-2,total_column_water_vapour_chemistry,tc_h2o,218059.00,,X,X,Available from 28 June 2023
Total fine mode (r < 0.5 um) aerosol optical depth at 1020 nm,dimensionless,total_fine_mode_aerosol_optical_depth_1020nm,aodfm1020,215128.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 1064 nm,dimensionless,total_fine_mode_aerosol_optical_depth_1064nm,aodfm1064,215129.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 1240 nm,dimensionless,total_fine_mode_aerosol_optical_depth_1240nm,aodfm1240,215130.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 1640 nm,dimensionless,total_fine_mode_aerosol_optical_depth_1640nm,aodfm1640,215131.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 2130 nm,dimensionless,total_fine_mode_aerosol_optical_depth_2130nm,aodfm2130,215177.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 340 nm,dimensionless,total_fine_mode_aerosol_optical_depth_340nm,aodfm340,215114.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 355 nm,dimensionless,total_fine_mode_aerosol_optical_depth_355nm,aodfm355,215115.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 380 nm,dimensionless,total_fine_mode_aerosol_optical_depth_380nm,aodfm380,215116.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 400 nm,dimensionless,total_fine_mode_aerosol_optical_depth_400nm,aodfm400,215117.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 440 nm,dimensionless,total_fine_mode_aerosol_optical_depth_440nm,aodfm440,215118.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 469 nm,dimensionless,total_fine_mode_aerosol_optical_depth_469nm,aodfm469,215119.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 500 nm,dimensionless,total_fine_mode_aerosol_optical_depth_500nm,aodfm500,215120.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 532 nm,dimensionless,total_fine_mode_aerosol_optical_depth_532nm,aodfm532,215121.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 550 nm,dimensionless,total_fine_mode_aerosol_optical_depth_550nm,aodfm550,215122.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 645 nm,dimensionless,total_fine_mode_aerosol_optical_depth_645nm,aodfm645,215123.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 670 nm,dimensionless,total_fine_mode_aerosol_optical_depth_670nm,aodfm670,215124.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 800 nm,dimensionless,total_fine_mode_aerosol_optical_depth_800nm,aodfm800,215125.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 858 nm,dimensionless,total_fine_mode_aerosol_optical_depth_858nm,aodfm858,215126.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 865 nm,dimensionless,total_fine_mode_aerosol_optical_depth_865nm,aodfm865,215127.00,,X,X,Only available from 26 June 2018 12UTC
Total precipitation,m,total_precipitation,tp,228.00,,X,X,
Total sky direct solar radiation at surface,J m-2,total_sky_direct_solar_radiation_at_surface,fdir,228021.00,,X,,
Vertically integrated mass of ammonium aerosol,kg m-2,vertically_integrated_mass_of_ammonium_aerosol,aermssam,215211.00,,X,X,Only available from 9 July 2019 00UTC
Vertically integrated mass of coarse-mode nitrate aerosol,kg m-2,vertically_integrated_mass_of_coarse_mode_nitrate_aerosol,aermssnic,215202.00,,X,X,Only available from 9 July 2019 00UTC
Vertically integrated mass of dust aerosol (0.03 - 0.55 um),kg m-2,vertically_integrated_mass_of_dust_aerosol_0.03-0.55um,aermssdus,215043.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of dust aerosol (0.55 - 9 um),kg m-2,vertically_integrated_mass_of_dust_aerosol_0.55-9um,aermssdum,215044.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of dust aerosol (9 - 20 um),kg m-2,vertically_integrated_mass_of_dust_aerosol_9-20um,aermssdul,215045.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of fine-mode nitrate aerosol,kg m-2,vertically_integrated_mass_of_fine_mode_nitrate_aerosol,aermssnif,215201.00,,X,X,Only available from 9 July 2019 00UTC
Vertically integrated mass of hydrophilic black carbon aerosol,kg m-2,vertically_integrated_mass_of_hydrophilic_black_carbon_aerosol,aermssbchphil,215078.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of hydrophilic organic matter aerosol,kg m-2,vertically_integrated_mass_of_hydrophilic_organic_matter_aerosol,aermssomhphil,215062.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of hydrophobic black carbon aerosol,kg m-2,vertically_integrated_mass_of_hydrophobic_black_carbon_aerosol,aermssbchphob,215077.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of hydrophobic organic matter aerosol,kg m-2,vertically_integrated_mass_of_hydrophobic_organic_matter_aerosol,aermssomhphob,215061.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of sea salt aerosol (0.03 - 0.5 um),kg m-2,vertically_integrated_mass_of_sea_salt_aerosol_0.03-0.5um,aermsssss,215019.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of sea salt aerosol (0.5 - 5 um),kg m-2,vertically_integrated_mass_of_sea_salt_aerosol_0.5-5um,aermssssm,215020.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of sea salt aerosol (5 - 20 um),kg m-2,vertically_integrated_mass_of_sea_salt_aerosol_5-20um,aermssssl,215021.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of sulphate aerosol,kg m-2,vertically_integrated_mass_of_sulphate_aerosol,aermsssu,215087.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated moisture divergence,kg m-2,vertically_integrated_moisture_divergence,vimd,213.00,,X,,Only available from 21 June 2016 00UTC
Visibility,m,visibility,vis,3020.00,,X,,Only available from 21 June 2016 00UTC
Wet deposition of ammonium aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_ammonium_aerosol_by_convective_precipitation,aerwdcam,215209.00,,X,,Only available from 9 July 2019 00UTC
Wet deposition of ammonium aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_ammonium_aerosol_by_large_scale_precipitation,aerwdlam,215208.00,,X,,Only available from 9 July 2019 00UTC
Wet deposition of coarse-mode nitrate aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_coarse_mode_nitrate_aerosol_by_convective_precipitation,aerwdcnic,215198.00,,X,,Only available from 9 July 2019 00UTC
Wet deposition of coarse-mode nitrate aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_coarse_mode_nitrate_aerosol_by_large_scale_precipitation,aerwdlnic,215196.00,,X,,Only available from 9 July 2019 00UTC
Wet deposition of dust aerosol (0.03 - 0.55 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_0.03-0.55um_by_convective_precipitation,aerwdccdus,215037.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (0.03 - 0.55 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_0.03-0.55um_by_large_scale_precipitation,aerwdlsdus,215034.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (0.55 - 9 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_0.55-9um_by_convective_precipitation,aerwdccdum,215038.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (0.55 - 9 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_0.55-9um_by_large_scale_precipitation,aerwdlsdum,215035.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (9 - 20 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_9-20um_by_convective_precipitation,aerwdccdul,215039.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (9 - 20 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_9-20um_by_large_scale_precipitation,aerwdlsdul,215036.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of fine-mode nitrate aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_fine_mode_nitrate_aerosol_by_convective_precipitation,aerwdcnif,215197.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of fine-mode nitrate aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_fine_mode_nitrate_aerosol_by_large_scale_precipitation,aerwdlnif,215195.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophilic black carbon aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_hydrophilic_black_carbon_aerosol_by_convective_precipitation,aerwdccbchphil,215074.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophilic black carbon aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_hydrophilic_black_carbon_aerosol_by_large_scale_precipitation,aerwdlsbchphil,215072.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophilic organic matter aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_hydrophilic_organic_matter_aerosol_by_convective_precipitation,aerwdccomhphil,215058.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophilic organic matter aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_hydrophilic_organic_matter_aerosol_by_large_scale_precipitation,aerwdlsomhphil,215056.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophobic black carbon aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_hydrophobic_black_carbon_aerosol_by_convective_precipitation,aerwdccbchphob,215073.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophobic black carbon aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_hydrophobic_black_carbon_aerosol_by_large_scale_precipitation,aerwdlsbchphob,215071.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophobic organic matter aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_hydrophobic_organic_matter_aerosol_by_convective_precipitation,aerwdccomhphob,215057.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophobic organic matter aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_hydrophobic_organic_matter_aerosol_by_large_scale_precipitation,aerwdlsomhphob,215055.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (0.03 - 0.5 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_0.03-0.5um_by_convective_precipitation,aerwdccsss,215013.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (0.03 - 0.5 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_0.03-0.5um_by_large_scale_precipitation,aerwdlssss,215010.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (0.5 - 5 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_0.5-5um_by_convective_precipitation,aerwdccssm,215014.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (0.5 - 5 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_0.5-5um_by_large_scale_precipitation,aerwdlsssm,215011.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (5 - 20 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_5-20um_by_convective_precipitation,aerwdccssl,215015.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (5 - 20 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_5-20um_by_large_scale_precipitation,aerwdlsssl,215012.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sulphate aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_sulphate_aerosol_by_convective_precipitation,aerwdccsu,215085.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sulphate aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_sulphate_aerosol_by_large_scale_precipitation,aerwdlssu,215084.00,,X,,Only available from 26 June 2018 12UTC


#------------------------------------
# Multi-level Fast access parameters
#------------------------------------

Ammonium aerosol mass mixing ratio,kg kg-1,ammonium_aerosol_mass_mixing_ratio,aermr18,210249.00,Fast access,X,X,
Anthropogenic secondary organic aerosol mass mixing ratio,kg kg-1,anthropogenic_secondary_organic_aerosol_mixing_ratio,aermr20,210253.00,Fast access,,,Available from 28 June 2023 
Biogenic secondary organic aerosol mass mixing ratio,kg kg-1,biogenic_secondary_organic_aerosol_mixing_ratio,aermr19,210252.00,Fast access,,,Available from 28 June 2023 
